Header,,,,,,,,,,,,,,,,
rate=30,,,,,,,,,,,,,,,,
frames=111,,,,,,,,,,,,,,,,
duration=3.7,,,,,,,,,,,,,,,,
type=degree,,,,,,,,,,,,,,,,
Body,,,,,,,,,,,,,,,,
Time,Frame,NV,NH,HD,LS,LE,LH,LK,RS,RE,RH,RK,TO,TH,TV,SD
0,0,0,0,55,13,40,-29,-30,-30,60,25,-76,15,-65,0,0
0.033,1,0,0,55,9,45,-26,-36,-30,61,25,-76,15,-64,0,0
0.066,2,0,0,55,5,48,-21,-47,-30,65,25,-75,15,-64,0,0
0.099,3,0,0,55,1,51,-15,-58,-30,71,25,-74,15,-64,0,0
0.132,4,0,0,55,-1,53,-10,-69,-30,78,24,-73,15,-63,0,0
0.165,5,0,0,55,-4,55,-6,-77,-30,85,24,-72,15,-63,0,0
0.198,6,0,0,55,-7,56,-2,-84,-30,90,23,-70,15,-62,0,0
0.231,7,0,0,55,-10,57,0,-89,-30,90,22,-68,15,-61,0,0
0.264,8,0,0,55,-12,58,4,-90,-30,90,22,-66,15,-60,0,0
0.297,9,0,0,55,-15,58,7,-90,-30,90,21,-64,15,-59,0,0
0.33,10,0,0,55,-17,58,11,-90,-24,90,20,-61,15,-58,0,0
0.363,11,0,0,55,-19,58,15,-90,-15,90,19,-58,15,-57,0,0
0.396,12,0,0,55,-21,57,19,-90,-5,90,17,-55,15,-56,0,0
0.429,13,0,0,55,-22,57,22,-90,4,90,16,-52,15,-54,0,0
0.462,14,0,0,55,-24,56,26,-90,12,90,14,-49,15,-53,0,0
0.495,15,0,0,55,-25,55,30,-90,19,90,13,-46,15,-52,0,0
0.528,16,0,0,55,-27,54,33,-90,24,90,11,-42,15,-50,0,0
0.561,17,0,0,55,-28,53,36,-90,27,90,9,-39,15,-48,0,0
0.594,18,0,0,55,-29,52,39,-90,28,90,7,-35,15,-47,0,0
0.627,19,0,0,55,-30,51,42,-90,28,90,5,-32,15,-45,0,0
0.66,20,0,0,55,-30,50,44,-90,27,90,2,-29,15,-44,0,0
0.693,21,0,0,55,-30,49,45,-90,26,90,0,-26,15,-42,0,0
0.726,22,0,0,55,-30,48,45,-90,25,90,-1,-23,15,-40,0,0
0.759,23,0,0,55,-30,47,45,-90,23,90,-2,-21,15,-39,0,0
0.792,24,0,0,55,-30,46,45,-90,21,90,-3,-21,15,-37,0,0
0.825,25,0,0,55,-30,45,45,-90,18,89,-4,-21,15,-35,0,0
0.858,26,0,0,55,-30,44,45,-90,16,89,-5,-22,15,-34,0,0
0.891,27,0,0,55,-30,43,45,-90,13,88,-5,-24,15,-32,0,0
0.924,28,0,0,55,-30,42,45,-90,10,88,-5,-26,15,-31,0,0
0.957,29,0,0,55,-30,41,45,-90,8,87,-5,-28,15,-29,0,0
0.99,30,0,0,55,-30,40,45,-90,5,86,-5,-30,15,-27,0,0
1.023,31,0,0,55,-30,39,45,-84,2,85,-5,-32,15,-26,0,0
1.056,32,0,0,55,-30,38,45,-78,0,83,-6,-34,15,-25,0,0
1.089,33,0,0,55,-30,36,45,-71,-2,82,-6,-36,15,-23,0,0
1.122,34,0,0,55,-30,35,45,-64,-4,80,-6,-38,15,-22,0,0
1.155,35,0,0,55,-30,33,45,-57,-6,78,-7,-40,15,-21,0,0
1.188,36,0,0,55,-30,32,45,-51,-8,76,-7,-41,15,-20,0,0
1.221,37,0,0,55,-30,30,45,-45,-9,74,-8,-43,15,-19,0,0
1.254,38,0,0,55,-30,29,45,-40,-11,72,-9,-44,15,-18,0,0
1.287,39,0,0,55,-30,27,45,-38,-12,71,-9,-45,15,-17,0,0
1.32,40,0,0,55,-30,25,45,-39,-13,69,-10,-46,15,-16,0,0
1.353,41,0,0,55,-30,24,45,-42,-14,68,-10,-47,15,-16,0,0
1.386,42,0,0,55,-30,22,45,-44,-15,66,-11,-47,15,-15,0,0
1.419,43,0,0,55,-30,21,45,-46,-17,66,-12,-47,15,-15,0,0
1.452,44,0,0,55,-30,20,45,-48,-18,65,-12,-47,15,-15,0,0
1.485,45,0,0,55,-30,20,45,-50,-19,66,-13,-47,15,-15,0,0
1.518,46,0,0,55,-30,26,45,-52,-20,66,-13,-47,15,-15,0,0
1.551,47,0,0,55,-30,38,45,-53,-21,66,-12,-48,15,-15,0,0
1.584,48,0,0,55,-30,52,45,-54,-22,66,-12,-50,15,-15,0,0
1.617,49,0,0,55,-30,66,45,-54,-22,66,-11,-52,15,-16,0,0
1.65,50,0,0,55,-30,78,45,-55,-23,65,-10,-55,15,-16,0,0
1.683,51,0,0,55,-30,88,45,-55,-24,65,-8,-58,15,-17,0,0
1.716,52,0,0,55,-30,90,45,-55,-24,64,-7,-62,15,-18,0,0
1.749,53,0,0,55,-30,90,45,-54,-25,63,-5,-65,15,-19,0,0
1.782,54,0,0,55,-30,90,45,-54,-25,61,-4,-68,15,-20,0,0
1.815,55,0,0,55,-21,90,45,-53,-25,60,-3,-72,15,-21,0,0
1.848,56,0,0,55,-11,90,45,-52,-25,59,-1,-75,15,-22,0,0
1.881,57,0,0,55,-3,90,43,-51,-25,57,0,-78,15,-23,0,0
1.914,58,0,0,55,3,90,41,-50,-25,56,0,-82,15,-25,0,0
1.947,59,0,0,55,8,90,39,-48,-25,54,1,-84,15,-26,0,0
1.98,60,0,0,55,13,90,37,-46,-25,53,2,-87,15,-27,0,0
2.013,61,0,0,55,17,90,34,-44,-25,51,2,-90,15,-29,0,0
